"","X.LawsonGrains.","names.soilData.","X.NA."
"1","LawsonGrains","Aggregation","NA"
"2","LawsonGrains","Year","NA"
"3","LawsonGrains","locs","NA"
"4","LawsonGrains","Sample No.","NA"
"5","LawsonGrains","Depth","NA"
"6","LawsonGrains","Lab Number","NA"
"7","LawsonGrains","Texture","NA"
"8","LawsonGrains","Gravel","NA"
"9","LawsonGrains","Colour","NA"
"10","LawsonGrains","NO3N","NA"
"11","LawsonGrains","NH4N","NA"
"12","LawsonGrains","Col P","NA"
"13","LawsonGrains","Col K","NA"
"14","LawsonGrains","KCl S","NA"
"15","LawsonGrains","O C","NA"
"16","LawsonGrains","Cond","NA"
"17","LawsonGrains","p H Ca Cl2","NA"
"18","LawsonGrains","p H H2O","NA"
"19","LawsonGrains","Ex Ca","NA"
"20","LawsonGrains","Ex Mg","NA"
"21","LawsonGrains","Ex Na","NA"
"22","LawsonGrains","Ex K","NA"
"23","LawsonGrains","Ca Cl2 Al","NA"
"24","LawsonGrains","Ex Al","NA"
"25","LawsonGrains","Cl","NA"
"26","LawsonGrains","PBI","NA"
"27","LawsonGrains","MIR %Silt","NA"
"28","LawsonGrains","MIR %Clay","NA"
"29","LawsonGrains","MIR %Sand","NA"
"30","LawsonGrains","X__1","NA"
"31","LawsonGrains","X__2","NA"
"32","LawsonGrains","X__3","NA"
"33","LawsonGrains","X__4","NA"
