"Table									  "	Column name          	Description                             	Datatype   	Length  	isNull	
"AGENCIES								"	STATE_CODE           	State code p7 Note: new codes           	VARCHAR    	1	NOT NULL	
"AGENCIES								"	AGENCY_CODE          	Agency unique identifier                	VARCHAR    	3	NOT NULL	
"AGENCIES								"	AGENCY_NAME          	Name of agency                          	VARCHAR    	240	NOT NULL                                          	
"AGENCIES								"	AGENCY_ACRONYM       	"Acronym of agency, e.g. ACLEP           "	VARCHAR    	10	NULL                                            	
                             						
ARCHIVE_SAMPLES	 AGENCY_CODE                  	Agency identifier                       	VARCHAR    	3	NOT NULL                                             	
ARCHIVE_SAMPLES	PROJ_CODE                     	Project identifier                      	VARCHAR    	10	NOT NULL	
ARCHIVE_SAMPLES	S_ID                          	Site identifier                         	VARCHAR    	10	NOT NULL	
ARCHIVE_SAMPLES	O_ID                          	Observation identifier                  	VARCHAR    	2	NOT NULL	
ARCHIVE_SAMPLES	H_NO                          	Horizon identifier                      	INTEGER    	        	NOT NULL	
ARCHIVE_SAMPLES	SAMP_NO                       	Sample number                           	INTEGER    	        	NOT NULL	
ARCHIVE_SAMPLES	JAR_NO                        	Jar number                              	INTEGER    	        	NOT NULL	
ARCHIVE_SAMPLES	SAMP_TYPE                     	"Sample type, e.g. fine earth, whole soil"	VARCHAR    	2	NULL	
ARCHIVE_SAMPLES	LOCATION                      	Location of sample i.e. shelf number    	VARCHAR    	12	NULL	
ARCHIVE_SAMPLES	WEIGHT                        	Weight of the sample (in grams)         	FLOAT      	        	NULL	
ARCHIVE_SAMPLES	>2mm                          	Presence of coarse fragment sample      	VARCHAR    	1	NULL	
ARCHIVE_SAMPLES	SPEC_ID                       	Subsample ID for spectroscopy           	INTEGER    	        	NULL	
ARCHIVE_SAMPLES	SUBSAMPLE_DATE                	Date of subsampling                     	VARCHAR    	8	NULL	
ARCHIVE_SAMPLES	SUBSAMPLE_TRAY                	Subsample tray identifier               	VARCHAR    	50	NULL	
						
COARSE_FRAGS	AGENCY_CODE                      	Agency identifier                        	VARCHAR    	3	NOT NULL	
COARSE_FRAGS	PROJ_CODE                        	Project identifier                       	VARCHAR    	10	NOT NULL	
COARSE_FRAGS	S_ID                             	Site identifier                          	VARCHAR    	10	NOT NULL	
COARSE_FRAGS	O_ID                             	Observation identifier                   	VARCHAR    	2	NOT NULL	
COARSE_FRAGS	H_NO                             	Horizon identifier                       	INTEGER    	        	NOT NULL	
COARSE_FRAGS	CF_NO                            	Coarse fragment number                   	INTEGER    	        	NOT NULL	
COARSE_FRAGS	"CF_ABUN                     			"	Coarse fragments abundance p139          	VARCHAR    	1	NULL	
COARSE_FRAGS	"CF_SIZE                     			"	Coarse fragments size p140               	VARCHAR    	1	NULL	
COARSE_FRAGS	"CF_SHAPE                    			"	Coarse fragments shape p142              	VARCHAR    	2	NULL	
COARSE_FRAGS	"CF_LITH                     			"	Coarse fragment lithology p142           	VARCHAR    	2	NULL	
COARSE_FRAGS	"CF_STRENGTH                 			"	Coarse fragments strength p142           	VARCHAR    	2	NULL	
COARSE_FRAGS	"CF_DISTRIBUTION             			"	Coarse fragments distribution p170       	VARCHAR    	1	NULL	
						
COLOURS	AGENCY_CODE                            	"Agency identifier              					"	VARCHAR    	3	NOT NULL	
COLOURS	PROJ_CODE                              	"Project identifier             					"	VARCHAR    	10	NOT NULL	
COLOURS	S_ID                                   	"Site identifier                					"	VARCHAR    	10	NOT NULL	
COLOURS	O_ID                                   	"Observation identifier         					"	VARCHAR    	2	NOT NULL	
COLOURS	H_NO                                   	"Horizon identifier             					"	INTEGER    	        	NOT NULL	
COLOURS	"COL_NO                          	     "	"Colour number                  					"	INTEGER    	        	NOT NULL	
COLOURS	"COL_HUE_VAL_CHROM               	     "	"Colour for decode              					"	VARCHAR    	10	NOT NULL	
COLOURS	"COL_HUE                         	     "	"Colour hue p159                					"	VARCHAR    	5	NOT NULL	
COLOURS	"COL_VALUE                       	     "	"Colour value p159              					"	FLOAT      	        	NULL	
COLOURS	"COL_CHROMA                      	     "	"Colour chroma p159             					"	FLOAT      	        	NULL	
COLOURS	"COL_MOISTURE_STAT               	     "	"Colour moisture status p159    					"	VARCHAR    	1	NULL	
						
CRACKS	AGENCY_CODE                             	"Agency identifier                 			"	VARCHAR    	3	NOT NULL	
CRACKS	PROJ_CODE                               	"Project identifier                			"	VARCHAR    	10	NOT NULL	
CRACKS	S_ID                                    	"Site identifier                   			"	VARCHAR    	10	NOT NULL	
CRACKS	O_ID                                    	"Observation identifier            			"	VARCHAR    	2	NOT NULL	
CRACKS	H_NO                                    	"Horizon identifier                			"	INTEGER    	        	NOT NULL	
CRACKS	CRACK_NO                                	"Crack number                      			"	INTEGER    	        	NOT NULL	
CRACKS	CRACK_WIDTH                             	"Crack width p184                  			"	VARCHAR    	1	NOT NULL	
						
CUTANS	AGENCY_CODE                             	Agency identifier                       	VARCHAR    	3	NOT NULL	
CUTANS	PROJ_CODE                               	Project identifier                      	VARCHAR    	10	NOT NULL	
CUTANS	S_ID                                    	Site identifier                         	VARCHAR    	10	NOT NULL	
CUTANS	O_ID                                    	Observation identifier                  	VARCHAR    	2	NOT NULL	
CUTANS	H_NO                                    	Horizon identifier                      	INTEGER    	        	NOT NULL	
CUTANS	CUTAN_NO                                	Cutan number                            	INTEGER    	        	NOT NULL	
CUTANS	"CUTAN_TYPE            									 "	Type of cutan p182                      	VARCHAR    	1	NULL	
CUTANS	"CUTAN_ABUN            									 "	Abundance of cutan p183                 	VARCHAR    	1	NULL	
CUTANS	"CUTAN_DISTINCT        									 "	Distinctness of cutan p183              	VARCHAR    	1	NULL	
						
DISTURBANCES	AGENCY_CODE                       	Agency identifier                       	VARCHAR    	3	NOT NULL	
DISTURBANCES	PROJ_CODE                         	Project identifier                      	VARCHAR    	10	NOT NULL	
DISTURBANCES	S_ID                              	Site identifier                         	VARCHAR    	10	NOT NULL	
DISTURBANCES	O_ID                              	Observation identifier                  	VARCHAR    	2	NOT NULL	
DISTURBANCES	DIST_NO                           	Disturbance number                      	INTEGER    	        	NOT NULL	
DISTURBANCES	DIST_TYPE                         	Disturbance of site p128                	VARCHAR    	1	NOT NULL	
						
ELEM_GEOMORPHS	AGENCY_CODE                     	Agency identifier                       	VARCHAR    	3	NOT NULL	
ELEM_GEOMORPHS	PROJ_CODE                       	Project identifier                      	VARCHAR    	10	NOT NULL	
ELEM_GEOMORPHS	S_ID                            	Site identifier                         	VARCHAR    	10	NOT NULL	
ELEM_GEOMORPHS	EGM_NO                          	Element geomorphology number            	INTEGER    	        	NOT NULL	
ELEM_GEOMORPHS	EGM_MODE                        	Element mode of geomorphological  activity p29        	VARCHAR    	2	NULL	
ELEM_GEOMORPHS	EGM_AGENT                       	Element geomorphological agent p30      	VARCHAR    	2	NULL	
						
FABRICS	AGENCY_CODE                            	Agency identifier                       	VARCHAR     	3	NOT NULL	
FABRICS	PROJ_CODE                              	Project identifier                      	VARCHAR     	10	NOT NULL	
FABRICS	S_ID                                   	Site identifier                         	VARCHAR     	10	NOT NULL	
FABRICS	O_ID                                   	Observation identifier                  	VARCHAR     	2	NOT NULL	
FABRICS	H_NO                                   	Horizon identifier                      	INTEGER     	        	NOT NULL	
FABRICS	FAB_NO                                 	Fabric number                           	INTEGER     	        	NOT NULL	
FABRICS	FAB_TYPE                               	Fabric type p181                        	VARCHAR     	1	NULL	
FABRICS	FAB_ABUN                               	Fabric abundance                        	VARCHAR     	1	NULL	
						
HORIZONS	AGENCY_CODE                           	Agency identifier                              	VARCHAR     	3	NOT NULL	
HORIZONS	PROJ_CODE                             	Project identifier                             	VARCHAR     	10	NOT NULL	
HORIZONS	S_ID                                  	Site identifier                                	VARCHAR     	10	NOT NULL	
HORIZONS	O_ID                                  	Observation identifier                         	VARCHAR     	2	NOT NULL	
HORIZONS	H_NO                                  	Horizon identifier                             	INTEGER     	         	NOT NULL	
HORIZONS	H_DESIG_NUM_PREF                      	"Horizon numeric prefix, p148                   "	INTEGER     	         	NULL	
HORIZONS	H_DESIG_MASTER                        	"Master horizon designation, e.g. A1, B2 p148   "	VARCHAR     	3	NULL	
HORIZONS	H_DESIG_SUBDIV                        	"Horizon subdivision, 1, 2 etc                  "	INTEGER     	         	NULL	
HORIZONS	H_DESIG_SUFFIX                        	"Horizon suffix, e.g., b, c, d                  "	VARCHAR     	5	NULL	
HORIZONS	H_UPPER_DEPTH                         	Upper depth (m) p156                           	FLOAT                 	NULL		
HORIZONS	H_LOWER_DEPTH                         	Lower depth (m) p156                           	FLOAT                 	NULL		
HORIZONS	H_TEXTURE                             	"Field texture (mineral soils), including modifiers p161  "	VARCHAR 	5	NULL	
HORIZONS	H_TEXTURE_QUAL                        	Field texture qualification                    	VARCHAR     	1	NULL	
HORIZONS	H_SOIL_WATER_STAT                     	Soil water status p186                         	VARCHAR     	1	NULL	
HORIZONS	H_STICKINESS                          	"Consistence, stickiness                        "	VARCHAR     	1	NULL	
HORIZONS	H_PLASTICITY_TYPE                     	"Consistence, type of plasticity p188           "	VARCHAR     	1	NULL	
HORIZONS	H_PLASTICITY_DEG                      	"Consistence, degree of plasticity p188         "	VARCHAR     	1	NULL	
HORIZONS	H_WATER_REPELLENCE                    	Water repellence p191                          	VARCHAR     	1	NULL	
HORIZONS	H_CARBONATE_EFF                       	Effervescence of carbonate in fine earth p198  	VARCHAR     	1	NULL	
HORIZONS	H_BOUND_DISTINCT                      	Distinctness of boundary between horizons p199 	VARCHAR     	1	NULL	
HORIZONS	H_BOUND_SHAPE                         	Shape of boundary between horizons p200        	VARCHAR     	1	NULL	
HORIZONS	H_PERMEABILITY                        	"Soil water regime, permeability p200           "	VARCHAR     	1	NULL	
HORIZONS	H_NOTES                               	Free text notes                                	VARCHAR     	240	NULL	
                                               						
LAB_METHODS	LABM_CODE                          	"Lab method code, based on Rayment and Lyons (2011)   "	VARCHAR     	10	NOT NULL	
LAB_METHODS	LABP_CODE                          	Lab property code                                    	VARCHAR     	20	NOT NULL	
LAB_METHODS	LABMT_CODE                         	Lab method type code                                 	VARCHAR     	20	NOT NULL	
LAB_METHODS	LABM_NAME                          	Lab method description                               	VARCHAR     	240	NOT NULL	
LAB_METHODS	LABM_SHORT_NAME                    	Lab method short name                                	VARCHAR     	20	NOT NULL	
LAB_METHODS	LABM_MASK                          	Lab method format mask e.g. 99.99 or  0.9999         	VARCHAR     	12	NULL	
LAB_METHODS	LABM_UNITS                         	Lab property units e.g. m                            	VARCHAR     	20	NULL	
LAB_METHODS	LABM_LOW_VALUE                     	Lab property low value of range allowed              	FLOAT       	         	NULL	
LAB_METHODS	LABM_HIGH_VALUE                    	Lab property high value of range allowed             	FLOAT       	         	NULL	
LAB_METHODS	AGENCY_CODE                        	Agency code	VARCHAR     	3	NULL	
                                                                                                     						
LAB_METHOD_TYPES	LABMT_CODE                    	"Lab method type code                       					 "	VARCHAR     	20	NOT NULL	
LAB_METHOD_TYPES	LABMT_NAME                    	"Lab method type name                       					 "	VARCHAR     	80	NOT NULL	
						
LAB_PROPERTIES	LABP_CODE                       	Lab property code                                    	VARCHAR     	20	NOT NULL	
LAB_PROPERTIES	LABP_NAME                       	Name of laboratory property                          	VARCHAR     	80	NOT NULL	
						
LAB_RESULTS	AGENCY_CODE                        	Agency identifier                                    	VARCHAR     	3	NOT NULL	
LAB_RESULTS	PROJ_CODE                          	Project identifier                                   	VARCHAR     	10	NOT NULL	
LAB_RESULTS	S_ID                               	Site identifier                                      	VARCHAR     	10	NOT NULL	
LAB_RESULTS	O_ID                               	Observation identifier                               	VARCHAR     	2	NOT NULL	
LAB_RESULTS	H_NO                               	Horizon identifier                                   	INTEGER     	         	NOT NULL	
LAB_RESULTS	SAMP_NO                            	Sample number                                        	INTEGER     	         	NOT NULL	
LAB_RESULTS	LABM_CODE                          	Lab method code                                      	VARCHAR     	10	NOT NULL	
LAB_RESULTS	LABR_NO                            	Replicate number of sample                           	INTEGER     	         	NOT NULL	
LAB_RESULTS	LABR_VALUE_PREFIX                  	"Prefix of value e.g. >, <,                           "	VARCHAR     	1	NULL	
LAB_RESULTS	LABR_VALUE                         	Value of lab result                                  	FLOAT       	         	NULL	
LAB_RESULTS	LABR_LOW_VALUE                     	Low value of range                                   	FLOAT       	         	NULL	
LAB_RESULTS	LABR_HIGH_VALUE                    	High value of range                                  	FLOAT       	         	NULL	
LAB_RESULTS	LABR_ANALYSIS_TYPE                 	"Lab analysis type, CHEM, PHYS or MIN                 "	VARCHAR     	4	NULL                                            	
LAB_RESULTS	LABR_DATE                                      	Date analysis undertaken                             	VARCHAR     	8	NULL	
						
LAND_COVER	AGENCY_CODE                         	Agency identifier                                    	VARCHAR     	3	NOT NULL	
LAND_COVER	PROJ_CODE                           	Project identifier                                   	VARCHAR     	10	NOT NULL	
LAND_COVER	S_ID                                	Site identifier                                      	VARCHAR     	10	NOT NULL	
LAND_COVER	LCOV_NO                             	Land cover number                                    	INTEGER     	         	NOT NULL	
LAND_COVER	LCOV_DATE                           	Date land cover observed ddmmyyyy                    	VARCHAR     	8	NULL	
LAND_COVER	LCOV_REF                            	Land cover reference e.g. FAO Land Cover             	VARCHAR     	10	NOT NULL	
LAND_COVER	LAND_COVER                          	Land cover code                                      	VARCHAR     	10	NOT NULL	
						
LAND _USES	AGENCY_CODE                         	Agency identifier                                    	VARCHAR     	3	NOT NULL	
LAND _USES	PROJ_CODE                           	Project identifier                                   	VARCHAR     	10	NOT NULL	
LAND _USES	S_ID                                	Site identifier                                      	VARCHAR     	10	NOT NULL	
LAND _USES	LUSE_NO                             	Land use number                                      	INTEGER     	         	NOT NULL	
LAND _USES	LUSE_DATE                           	Date land use observed or started                    	VARCHAR     	8	NULL	
LAND _USES	LUSE_END_DATE                       	End date for land use ddmmyyyy                       	VARCHAR     	8	NULL	
LAND _USES	LUSE_REF                            	Land use reference e.g. ALUM Version 6               	VARCHAR     	10	NOT NULL	
LAND _USES	LAND_USE                            	Land use code                                        	VARCHAR     	10	NOT NULL	
						
MICRORELIEFS	AGENCY_CODE                       	Agency identifier                                    	VARCHAR     	3	NOT NULL	
MICRORELIEFS	PROJ_CODE                         	Project identifier                                   	VARCHAR     	10	NOT NULL	
MICRORELIEFS	S_ID                              	Site identifier                                      	VARCHAR     	10	NOT NULL	
MICRORELIEFS	O_ID                              	Observation identifier                               	VARCHAR     	2	NOT NULL	
MICRORELIEFS	MR_NO                             	Microrelief number                                   	INTEGER     	         	NOT NULL	
MICRORELIEFS	MR_TYPE                           	Type of microrelief p129                             	VARCHAR     	1	NULL	
MICRORELIEFS	MR_PROP_GILGAI                    	Proportions of gilgai components p130                	VARCHAR     	1	NULL	
MICRORELIEFS	MR_BIOTIC_AGENT                   	Biotic microrelief (agent) p131                      	VARCHAR     	1	NULL	
MICRORELIEFS	MR_BIOTIC_COMP                    	Component of biotic microrelief p133                 	VARCHAR     	1	NULL	
MICRORELIEFS	MR_VERTICAL_INT                   	Vertical interval (m) p133                           	FLOAT       	         	NULL	
MICRORELIEFS	MR_HORIZ_INT                      	Horizontal interval (m) p133                         	FLOAT       	         	NULL	
						
MOTTLES	AGENCY_CODE                            	"Agency identifier                     								"	VARCHAR    	3	NOT NULL	
MOTTLES	PROJ_CODE                              	"Project identifier                    								"	VARCHAR    	10	NOT NULL	
MOTTLES	S_ID                                   	"Site identifier                       								"	VARCHAR    	10	NOT NULL	
MOTTLES	O_ID                                   	"Observation identifier                								"	VARCHAR    	2	NOT NULL	
MOTTLES	H_NO                                   	"Horizon identifier                    								"	INTEGER    	         	NOT NULL	
MOTTLES	MOTT_NO                                	"Mottle number                         								"	INTEGER    	         	NOT NULL	
MOTTLES	MOTT_TYPE                              	"Mottle type p160                      								"	VARCHAR    	1	NULL	
MOTTLES	MOTT_ABUN                              	"Mottle abundance p160                 								"	VARCHAR    	1	NULL	
MOTTLES	MOTT_SIZE                              	"Mottle size p160                      								"	VARCHAR    	1	NULL	
MOTTLES	MOTT_CONTRAST                          	"Mottle contrast p160                  								"	VARCHAR    	1	NULL	
MOTTLES	MOTT_HUE_VAL_CHROM                     	"Colour for decode                     								"	VARCHAR    	10	NOT NULL	
MOTTLES	MOTT_HUE                               	"Mottle hue p159                       								"	VARCHAR    	5	NULL	
MOTTLES	MOTT_VALUE                             	"Mottle value p159                     								"	FLOAT      	         	NULL	
MOTTLES	MOTT_CHROMA                            	"Mottle chroma p159                    								"	FLOAT      	         	NULL	
MOTTLES	MOTT_MOISTURE_STAT                     	"Mottle colour moisture status         								"	VARCHAR    	1	NULL	
MOTTLES	MOTT_COLOUR                            	"Mottle colour i.e. old colours R,                     "	VARCHAR    	1	NULL	
MOTTLES	MOTT_BOUN_DISTINCT                     	Distinctness of boundaries                            	VARCHAR    	1	NULL	
						
OBSERVATIONS	AGENCY_CODE                       	Agency identifier                                     	VARCHAR    	3	NOT NULL	
OBSERVATIONS	PROJ_CODE                         	Project identifier                                    	VARCHAR    	10	NOT NULL	
OBSERVATIONS	S_ID                              	Site identifier                                       	VARCHAR    	10	NOT NULL	
OBSERVATIONS	O_ID                              	Observation identifier                                	VARCHAR    	2	NOT NULL   	
OBSERVATIONS	O_TYPE                            	"Type of soil observation,                             "	VARCHAR    	1	NULL	
OBSERVATIONS	O_NATURE                          	"Nature of observation e.g. characterisation, single, etc"	VARCHAR  	1	NULL	
OBSERVATIONS	O_DESC_BY                         	Officer code p13                                      	VARCHAR    	4	NULL	
OBSERVATIONS	O_DATE_DESC                       	Date site described p13 ddmmyyyy                      	VARCHAR    	8	NULL	
OBSERVATIONS	O_AMG_ZONE                        	Australian map grid zone                              	INTEGER    	         	NULL	
OBSERVATIONS	O_EASTING                         	AMG easting (m) p8                                    	INTEGER    	         	NULL	
OBSERVATIONS	O_NORTHING                        	AMG northing (m) p8                                   	INTEGER    	         	NULL	
OBSERVATIONS	O_LATITUDE                        	Latitude decimal degrees                              	FLOAT      	         	NULL	
OBSERVATIONS	O_LONGITUDE                       	Longitude decimal degrees                             	FLOAT      	         	NULL	
OBSERVATIONS	O_DATUM                           	Datum of the coordinates                              	VARCHAR    	10	NULL	
OBSERVATIONS	O_LATITUDE_GDA94                  	Latitude decimal degrees                              	FLOAT      	         	NULL	
OBSERVATIONS	O_LONGITUDE_GDA94                 	Longitude decimal degrees                             	FLOAT      	         	NULL	
OBSERVATIONS	O_LOCATION_STATE                  	"State e.g. TAS, NSW, VIC                              "	VARCHAR    	3	NULL	
OBSERVATIONS	O_LOCATION_NOTES                  	Free text location notes                              	VARCHAR    	240	NULL	
OBSERVATIONS	O_PHOTO_EAST                      	Air photo site reference mm east p11                  	NTEGER     	         	NULL	
OBSERVATIONS	O_PHOTO_NORTH                     	Air photo site reference mm north p11                 	NTEGER     	         	NULL	
OBSERVATIONS	O_LAND_USE                        	Land use code                                         	VARCHAR    	4	NULL	
OBSERVATIONS	O_FOREST_TYPE                     	Type of forest p73 (2 Ed)                             	VARCHAR    	1	NULL	
OBSERVATIONS	O_RF_COMPLEX                      	Rainforest complexity p77                             	VARCHAR    	1	NULL	
OBSERVATIONS	O_RF_LEAFSIZE                     	Rainforest leaf size of tallest stratum trees p81     	VARCHAR    	1	NULL	
OBSERVATIONS	O_RF_FLOR_COMP                    	Rainforest floristic composition of tallest stratum trees 	VARCHAR	1	NULL	
OBSERVATIONS	O_RF_INDICATOR                    	Rainforest indicator growth form p84 (2nd Ed)         	VARCHAR    	1	NULL	
OBSERVATIONS	O_RF_EMERGENTS                    	Rainforest emergents p85                              	VARCHAR    	1	NULL	
OBSERVATIONS	O_SCLEROPHYLL                     	"Sclerophyll presence in canopy p63,85                 "	VARCHAR    	1	NULL	
OBSERVATIONS	O_VEG_NOTES                       	Free text vegetation notes                            	VARCHAR    	240	NULL	
OBSERVATIONS	O_ASPECT                          	Aspect (nearest 10 degrees) p127                      	INTEGER    	         	NULL	
OBSERVATIONS	O_ELEVATION_EVAL                  	Elevation evaluation p127                             	VARCHAR    	1	NULL	
OBSERVATIONS	O_ELEVATION_PF                    	Elevation prefix                                      	VARCHAR    	1	NULL	
OBSERVATIONS	O_ELEVATION                       	Elevation (m above sea level) p128                    	INTEGER    	         	NULL	
OBSERVATIONS	O_DRAINAGE_EVAL                   	Drainage height evaluation                            	VARCHAR    	1	NULL	
OBSERVATIONS	O_DRAINAGE_HEIGHT                 	Drainage height value (m)                             	FLOAT      	         	NULL	
OBSERVATIONS	O_DRAINAGE                        	"Drainage, soil water regime, p202                     "	VARCHAR    	1	NULL	
OBSERVATIONS	O_MR_SAMPLED                      	Component of microrelief sampled p133                 	VARCHAR    	1	NULL	
OBSERVATIONS	O_SOIL_DISTURB                    	Soil disturbance                                      	VARCHAR    	1	NULL	
OBSERVATIONS	O_GRND_COV_LEVEL_MIN              	Minimum level of flattened groundcover                	INTEGER    	         	NULL	
OBSERVATIONS	O_GRND_COV_LEVEL_MAX              	Maximum level of flattened groundcover                	INTEGER    	         	NULL	
OBSERVATIONS	O_GRND_COV_HEIGHT_MIN             	Minimum height of groundcover                         	INTEGER    	         	NULL	
OBSERVATIONS	O_GRND_COV_HEIGHT_MAX             	Maximum height of groundcover                         	INTEGER    	         	NULL	
OBSERVATIONS	O_WIND_STATE                      	Wind erosion state p134                               	VARCHAR    	1	NULL	
OBSERVATIONS	O_WIND_DEG                        	Wind erosion degree p134                              	VARCHAR    	1	NULL	
OBSERVATIONS	O_WIND_STABILITY                  	Wind erosion stability                                	VARCHAR    	1	NULL	
OBSERVATIONS	O_WIND_VISIBILITY                 	Wind erosion occurring on the day                     	VARCHAR    	1	NULL	
OBSERVATIONS	O_SCALD_DEG                       	Scald erosion degree p135                             	VARCHAR    	1	NULL	
