Organisation,ObservedProperty,labMcode
TERN_Surveillance,collected_by,s_desc_by
TERN_Surveillance,colour_when_dry,NA
TERN_Surveillance,colour_when_moist,NA
TERN_Surveillance,ec,NA
TERN_Surveillance,effervescence,NA
TERN_Surveillance,horizon,NA
TERN_Surveillance,layer_barcode,NA
TERN_Surveillance,mottles_abundance,NA
TERN_Surveillance,mottles_colour,NA
TERN_Surveillance,mottles_size,NA
TERN_Surveillance,next_size_1,NA
TERN_Surveillance,next_size_2,NA
TERN_Surveillance,next_size_type_1,NA
TERN_Surveillance,next_size_type_2,NA
TERN_Surveillance,pedality_fabric,NA
TERN_Surveillance,pedality_grade,NA
TERN_Surveillance,ph,NA
TERN_Surveillance,segregations_abundance,NA
TERN_Surveillance,segregations_form,NA
TERN_Surveillance,segregations_nature,NA
TERN_Surveillance,segregations_size,NA
TERN_Surveillance,smallest_size_1,NA
TERN_Surveillance,smallest_size_2,NA
TERN_Surveillance,smallest_size_type_1,NA
TERN_Surveillance,smallest_size_type_2,NA
TERN_Surveillance,texture_grade,NA
TERN_Surveillance,texture_modifier,NA
TERN_Surveillance,texture_qualifier,NA
